gene	retained
ASB7	TRUE
ASB8	TRUE
ASB9	TRUE
ASCC1	TRUE
ASCC2	TRUE
ASCC3	TRUE
ASCL1	TRUE
ASCL2	TRUE
ASCL3	FALSE
ASCL4	TRUE
ASCL5	TRUE
ASF1A	TRUE
ASF1B	TRUE
ASGR1	TRUE
ASGR2	TRUE
ASH1L	TRUE
ASH2L	TRUE
ASIC1	TRUE
ASIC2	FALSE
ASIC3	TRUE
ASIC4	TRUE
ASIC5	FALSE
ASIP	TRUE
ASL	TRUE
ASMT	FALSE
ASMTL	TRUE
ASNSD1	TRUE
ASPA	TRUE
ASPDH	TRUE
ASPG	TRUE
ASPH	TRUE
ASPHD1	TRUE
ASPHD2	TRUE
ASPM	TRUE
ASPN	TRUE
ASPRV1	TRUE
ASPSCR1	TRUE
ASRGL1	TRUE
ASS1	TRUE
ASTE1	TRUE
ASTL	TRUE
ASTN1	FALSE
ASTN2	TRUE
ASXL1	TRUE
ASXL2	TRUE
ASXL3	FALSE
ASZ1	FALSE
ATAD1	TRUE
ATAD2	TRUE
ATAD2B	TRUE
ATAD3C	TRUE
ATAD5	TRUE
ATAT1	TRUE
ATCAY	FALSE
ATE1	TRUE
ATF1	TRUE
ATF2	TRUE
ATF3	TRUE
ATF4	TRUE
ATF5	TRUE
ATF6	TRUE
ATF6B	TRUE
ATF7	TRUE
ATF7IP	TRUE
ATF7IP2	TRUE
ATG10	TRUE
ATG101	TRUE
ATG12	TRUE
ATG13	TRUE
ATG14	TRUE
ATG16L1	TRUE
ATG16L2	TRUE
ATG2A	TRUE
ATG2B	TRUE
ATG3	TRUE
ATG4A	TRUE
ATG4B	TRUE
ATG4C	TRUE
ATG4D	TRUE
ATG5	TRUE
ATG7	TRUE
ATG9A	TRUE
ATG9B	TRUE
ATIC	TRUE
ATL1	TRUE
ATL2	TRUE
ATL3	TRUE
ATM	TRUE
ATMIN	TRUE
ATN1	TRUE
ATOH1	TRUE
ATOH7	TRUE
ATOH8	TRUE
ATOX1	TRUE
ATP10A	TRUE
ATP10B	TRUE
ATP10D	TRUE
ATP11A	TRUE
ATP11B	TRUE
ATP11C	TRUE
ATP12A	FALSE
ATP13A1	TRUE
ATP13A2	TRUE
ATP13A3	TRUE
ATP13A4	TRUE
ATP13A5	FALSE
ATP1A1	TRUE
ATP1A2	TRUE
ATP1A3	TRUE
ATP1A4	TRUE
ATP1B1	TRUE
ATP1B2	TRUE
ATP1B4	FALSE
ATP23	TRUE
ATP2A1	TRUE
ATP2A2	TRUE
ATP2A3	TRUE
ATP2B1	TRUE
ATP2B2	TRUE
ATP2B3	FALSE
ATP2B4	TRUE
ATP2C1	TRUE
ATP2C2	TRUE
ATP4A	FALSE
ATP4B	TRUE
ATP5F1A	TRUE
ATP5F1B	TRUE
ATP5F1D	TRUE
ATP5F1E	TRUE
ATP5IF1	TRUE
ATP5MC2	TRUE
ATP5MC3	TRUE
ATP5ME	TRUE
ATP5MF	TRUE
ATP5MG	TRUE
ATP5MPL	TRUE
ATP5PB	TRUE
ATP5PD	TRUE
ATP5PF	TRUE
ATP6AP1	TRUE
ATP6AP1L	TRUE
ATP6AP2	TRUE
ATP6V0A1	TRUE
ATP6V0A4	TRUE
ATP6V0B	TRUE
ATP6V0D1	TRUE
ATP6V0D2	TRUE
ATP6V0E1	TRUE
ATP6V0E2	TRUE
ATP6V1A	TRUE
ATP6V1B2	TRUE
ATP6V1C1	TRUE
ATP6V1C2	TRUE
ATP6V1D	TRUE
