study	patient	scoring	model	n_cells	n_samples	design_columns	design_rank	residual_df	finite_comparison	covariates
Ogden_2025	CRC10	fixed_background	state_enhanced	1500	1	18	18	1482	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;state_Enteroendocrine;state_Goblet;state_Hypoxia;state_Intermediate;state_REC;state_Stem;state_Stem NOTUM;state_TA1;state_TA2;state_Tuft;state_UPR;state_iREC
Ogden_2025	CRC11	fixed_background	common	952	1	6	6	946	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Ogden_2025	CRC11	fixed_background	state_enhanced	952	1	16	16	936	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;state_Goblet;state_Hypoxia;state_Intermediate;state_REC;state_Stem;state_Stem NOTUM;state_TA1;state_TA2;state_UPR;state_iREC
Ogden_2025	CRC12	fixed_background	common	341	1	6	6	335	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Ogden_2025	CRC12	fixed_background	state_enhanced	341	1	17	17	324	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;state_Goblet;state_Hypoxia;state_Intermediate;state_REC;state_Stem;state_Stem NOTUM;state_TA1;state_TA2;state_Tuft;state_UPR;state_iREC
Ogden_2025	CRC14	fixed_background	common	1554	1	6	6	1548	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Ogden_2025	CRC14	fixed_background	state_enhanced	1554	1	17	17	1537	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;state_Enteroendocrine;state_Goblet;state_Hypoxia;state_Intermediate;state_REC;state_Stem;state_Stem NOTUM;state_TA1;state_TA2;state_UPR;state_iREC
Ogden_2025	CRC15	fixed_background	common	729	1	6	6	723	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Ogden_2025	CRC15	fixed_background	state_enhanced	729	1	17	17	712	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;state_Goblet;state_Hypoxia;state_Intermediate;state_REC;state_Stem;state_Stem NOTUM;state_TA1;state_TA2;state_Tuft;state_UPR;state_iREC
Ogden_2025	CRC01	target_mean	common	342	1	6	6	336	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Ogden_2025	CRC01	target_mean	state_enhanced	342	1	14	14	328	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;state_Hypoxia;state_Intermediate;state_REC;state_Stem NOTUM;state_TA1;state_TA2;state_UPR;state_iREC
Ogden_2025	CRC02	target_mean	common	706	1	6	6	700	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Ogden_2025	CRC02	target_mean	state_enhanced	706	1	17	17	689	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;state_Goblet;state_Hypoxia;state_Intermediate;state_REC;state_Stem;state_Stem NOTUM;state_TA1;state_TA2;state_Tuft;state_UPR;state_iREC
Ogden_2025	CRC03	target_mean	common	452	1	6	6	446	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Ogden_2025	CRC03	target_mean	state_enhanced	452	1	17	17	435	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;state_Goblet;state_Hypoxia;state_Intermediate;state_REC;state_Stem;state_Stem NOTUM;state_TA1;state_TA2;state_Tuft;state_UPR;state_iREC
Ogden_2025	CRC04	target_mean	common	2678	1	6	6	2672	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Ogden_2025	CRC04	target_mean	state_enhanced	2678	1	16	16	2662	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;state_Goblet;state_Hypoxia;state_Intermediate;state_REC;state_Stem;state_Stem NOTUM;state_TA1;state_TA2;state_UPR;state_iREC
Ogden_2025	CRC05	target_mean	common	654	1	6	6	648	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Ogden_2025	CRC05	target_mean	state_enhanced	654	1	16	16	638	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;state_Goblet;state_Hypoxia;state_Intermediate;state_REC;state_Stem;state_Stem NOTUM;state_TA1;state_TA2;state_UPR;state_iREC
Ogden_2025	CRC06	target_mean	common	997	1	6	6	991	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Ogden_2025	CRC06	target_mean	state_enhanced	997	1	16	16	981	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;state_Goblet;state_Hypoxia;state_Intermediate;state_REC;state_Stem;state_Stem NOTUM;state_TA1;state_TA2;state_UPR;state_iREC
Ogden_2025	CRC07	target_mean	common	436	1	6	6	430	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Ogden_2025	CRC07	target_mean	state_enhanced	436	1	15	15	421	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;state_Goblet;state_Hypoxia;state_Intermediate;state_REC;state_Stem;state_Stem NOTUM;state_TA1;state_Tuft;state_UPR
Ogden_2025	CRC08	target_mean	common	3323	1	6	6	3317	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Ogden_2025	CRC08	target_mean	state_enhanced	3323	1	18	18	3305	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;state_Enteroendocrine;state_Goblet;state_Hypoxia;state_Intermediate;state_REC;state_Stem;state_Stem NOTUM;state_TA1;state_TA2;state_Tuft;state_UPR;state_iREC
Ogden_2025	CRC09	target_mean	common	1323	1	6	6	1317	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Ogden_2025	CRC09	target_mean	state_enhanced	1323	1	16	16	1307	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;state_Goblet;state_Hypoxia;state_Intermediate;state_REC;state_Stem;state_Stem NOTUM;state_TA1;state_TA2;state_UPR;state_iREC
Ogden_2025	CRC10	target_mean	common	1500	1	6	6	1494	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Ogden_2025	CRC10	target_mean	state_enhanced	1500	1	18	18	1482	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;state_Enteroendocrine;state_Goblet;state_Hypoxia;state_Intermediate;state_REC;state_Stem;state_Stem NOTUM;state_TA1;state_TA2;state_Tuft;state_UPR;state_iREC
Ogden_2025	CRC11	target_mean	common	952	1	6	6	946	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Ogden_2025	CRC11	target_mean	state_enhanced	952	1	16	16	936	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;state_Goblet;state_Hypoxia;state_Intermediate;state_REC;state_Stem;state_Stem NOTUM;state_TA1;state_TA2;state_UPR;state_iREC
Ogden_2025	CRC12	target_mean	common	341	1	6	6	335	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Ogden_2025	CRC12	target_mean	state_enhanced	341	1	17	17	324	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;state_Goblet;state_Hypoxia;state_Intermediate;state_REC;state_Stem;state_Stem NOTUM;state_TA1;state_TA2;state_Tuft;state_UPR;state_iREC
Ogden_2025	CRC14	target_mean	common	1554	1	6	6	1548	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Ogden_2025	CRC14	target_mean	state_enhanced	1554	1	17	17	1537	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;state_Enteroendocrine;state_Goblet;state_Hypoxia;state_Intermediate;state_REC;state_Stem;state_Stem NOTUM;state_TA1;state_TA2;state_UPR;state_iREC
Ogden_2025	CRC15	target_mean	common	729	1	6	6	723	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Ogden_2025	CRC15	target_mean	state_enhanced	729	1	17	17	712	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;state_Goblet;state_Hypoxia;state_Intermediate;state_REC;state_Stem;state_Stem NOTUM;state_TA1;state_TA2;state_Tuft;state_UPR;state_iREC
