scoring	model	endpoint	study	weight_percent	study_estimate	study_variance
target_mean	common	CLDN7	Giguelay_2022_Theranostics	37.1913233375718	0.208772692816578	0.000904900463583047
target_mean	common	CLDN7	Liu_2024_Cancer_Res	28.5043896231239	0.172678264655301	0.0014774407893849
target_mean	common	CLDN7	Sathe_2023_Clin_Cancer_Res	11.626134933993	0.0221735818577413	0.00503599332434287
target_mean	common	CLDN7	Wang_2023_Sci_Adv	9.09244151169161	0.260977310479157	0.00671067064638929
target_mean	common	CLDN8	Giguelay_2022_Theranostics	36.2153281892973	-0.0283198442540583	0.00141074573378217
target_mean	common	CLDN8	Wang_2023_Sci_Adv	63.7846718107027	0.00321141871038797	0.000800985852717043
target_mean	common	CLDN9	Che_2021_Cell_Discov	34.2078878212011	0.0660590792122452	4.58756640553123e-05
target_mean	common	CLDN9	Giguelay_2022_Theranostics	20.982732016976	0.0289646392892838	0.000701158956866479
target_mean	common	CLDN9	Liu_2024_Cancer_Res	32.1635436913848	0.00413805237754126	0.000111957247903369
target_mean	common	CLDN9	Wang_2023_Sci_Adv	12.645836470438	0.0879740257739808	0.00181856587610293
target_mean	common	CRB3	Che_2021_Cell_Discov	8.51337146787339	0.0410404726921068	0.00110738070755748
target_mean	common	CRB3	Giguelay_2022_Theranostics	23.5283822719766	0.0883517985460156	0.000400688122575346
target_mean	common	CRB3	Liu_2024_Cancer_Res	29.1295755295002	0.0522218593703698	0.000323641630488088
target_mean	common	CRB3	Sathe_2023_Clin_Cancer_Res	2.42789326340115	0.0494892133393867	0.00388301391247596
target_mean	common	CRB3	Wang_2023_Sci_Adv	36.4007774672487	0.0591058307125471	0.000258992911024378
target_mean	common	F11R	Che_2021_Cell_Discov	2.26131227379168	0.156328441755993	0.012981095731408
target_mean	common	F11R	Giguelay_2022_Theranostics	31.0400101195033	0.104530485639389	0.000469997478804135
target_mean	common	F11R	Liu_2024_Cancer_Res	28.122140886373	0.154358111021607	0.000571997974026534
target_mean	common	F11R	Sathe_2023_Clin_Cancer_Res	24.9295963722785	0.0880480559541551	0.000710954844371707
target_mean	common	F11R	Wang_2023_Sci_Adv	13.6469403480535	0.167998422674542	0.00172292451618201
target_mean	common	PALS1	Che_2021_Cell_Discov	3.60783575616606	0.0911566070886329	0.00214223657485458
target_mean	common	PALS1	Giguelay_2022_Theranostics	23.6345147405454	0.035812812323421	0.00029529257442085
target_mean	common	PALS1	Liu_2024_Cancer_Res	44.3226536866182	0.0225838288379037	0.000139986937302664
target_mean	common	PALS1	Sathe_2023_Clin_Cancer_Res	7.53029454382617	0.0480213664567636	0.00100686528828548
target_mean	common	PALS1	Wang_2023_Sci_Adv	20.9047012728441	0.0531612194828342	0.000338741651511972
target_mean	common	PARD3	Che_2021_Cell_Discov	1.86352116233377	0.134517526407149	0.00394165055987324
target_mean	common	PARD3	Giguelay_2022_Theranostics	16.7448843880463	0.00953530768941352	0.000438662284111808
target_mean	common	PARD3	Liu_2024_Cancer_Res	24.4724736401544	0.0439567010579096	0.000300147395839721
target_mean	common	PARD3	Sathe_2023_Clin_Cancer_Res	27.6335865041549	0.00917458982720885	0.000265812374073996
target_mean	common	PARD3	Wang_2023_Sci_Adv	29.2855343053107	0.0152054719187709	0.000250818344520234
target_mean	common	PARD6A	Che_2021_Cell_Discov	19.8204301117767	-0.0723848227436006	0.000291105758449435
target_mean	common	PARD6A	Giguelay_2022_Theranostics	22.4770661776591	-0.022548619434658	0.000108574402367575
target_mean	common	PARD6A	Liu_2024_Cancer_Res	22.0174705096731	-0.0338771107320097	0.000137001138215834
target_mean	common	PARD6A	Sathe_2023_Clin_Cancer_Res	20.4537295647358	0.0352902057562608	0.00024328883349788
target_mean	common	PARD6A	Wang_2023_Sci_Adv	15.2313036361552	-0.0257158449490857	0.000756411049953987
target_mean	common	PARD6B	Che_2021_Cell_Discov	18.2440648961262	0.204869434869912	0.00198598458232371
target_mean	common	PARD6B	Giguelay_2022_Theranostics	24.8115276190656	0.0159882440816487	0.000466576890052457
target_mean	common	PARD6B	Liu_2024_Cancer_Res	25.1262668071827	0.0994571235823906	0.000413705446773613
target_mean	common	PARD6B	Sathe_2023_Clin_Cancer_Res	16.1031310022178	0.103518639631613	0.00274915783352415
target_mean	common	PARD6B	Wang_2023_Sci_Adv	15.7150096754077	0.128418272916019	0.00290977588223443
target_mean	common	PARD6G	Giguelay_2022_Theranostics	25.0495859485595	0.000609100718754873	0.000231737269702145
target_mean	common	PARD6G	Liu_2024_Cancer_Res	52.409187737362	-0.0235257967185416	2.21477126456e-05
target_mean	common	PARD6G	Wang_2023_Sci_Adv	22.5412263140786	0.00382581208304113	0.000276413812688428
target_mean	common	PATJ	Che_2021_Cell_Discov	2.96995387445549	0.155249655359545	0.00263097068272176
target_mean	common	PATJ	Giguelay_2022_Theranostics	14.7776819217459	0.0256434759280387	0.000512464865275877
target_mean	common	PATJ	Liu_2024_Cancer_Res	32.9214095680882	0.0631667370173106	0.000218793826309469
target_mean	common	PATJ	Sathe_2023_Clin_Cancer_Res	45.2127145181155	0.0456824537735182	0.000153769130761572
target_mean	common	PATJ	Wang_2023_Sci_Adv	4.11824011759493	-0.0128973980671074	0.0018916920904182
target_mean	common	PRKCI	Che_2021_Cell_Discov	20.9054362130412	0.109094020190542	0.000473334581433374
target_mean	common	PRKCI	Giguelay_2022_Theranostics	27.1520498198071	0.03523124177947	0.000246604163413701
target_mean	common	PRKCI	Liu_2024_Cancer_Res	17.4006557061727	0.0603548773062773	0.000671835709122267
target_mean	common	PRKCI	Sathe_2023_Clin_Cancer_Res	16.9742845462859	0.0391542407710362	0.000701576857279013
