study	patient	gene	n_cells	detection_fraction	mean_log_expression
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	CLDN11	806	0.0	0.0
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	CLDN12	806	0.17369727047146402	0.09513366222381592
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	CLDN14	806	0.0012406947890818859	0.0006215512985363603
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	CLDN15	806	0.3225806451612903	0.21885524690151215
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	CLDN16	806	0.01240694789081886	0.005949196871370077
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	CLDN17	806	0.0	0.0
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	CLDN18	806	0.0	0.0
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	CLDN19	806	0.0024813895781637717	0.0009318850934505463
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	CLDN2	806	0.37965260545905705	0.3341343402862549
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	CLDN20	806	0.0	0.0
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	CLDN22	806	0.0	0.0
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	CLDN23	806	0.07444168734491315	0.03448698669672012
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	CLDN3	806	0.9689826302729528	2.4063847064971924
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	CLDN4	806	0.9491315136476427	2.0924875736236572
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	CLDN5	806	0.0	0.0
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	CLDN6	806	0.0	0.0
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	CLDN7	806	0.9057071960297767	1.3500282764434814
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	CLDN8	806	0.0	0.0
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	CLDN9	806	0.034739454094292806	0.01762571930885315
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	CRB3	806	0.41935483870967744	0.2740214169025421
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	F11R	806	0.46153846153846156	0.32001960277557373
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	PALS1	806	0.10918114143920596	0.053019843995571136
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	PARD3	806	0.1488833746898263	0.07189029455184937
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	PARD6A	806	0.028535980148883373	0.009096946567296982
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	PARD6B	806	0.3759305210918114	0.23952491581439972
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	PARD6G	806	0.011166253101736972	0.004492934327572584
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	PATJ	806	0.21215880893300249	0.1099664643406868
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	PRKCI	806	0.19727047146401985	0.10035690665245056
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	CLDN1	530	0.30943396226415093	0.22077496349811554
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	CLDN10	530	0.28679245283018867	0.20652462542057037
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	CLDN11	530	0.0037735849056603774	0.0031875926069915295
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	CLDN12	530	0.21509433962264152	0.12797188758850098
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	CLDN14	530	0.0037735849056603774	0.002228908706456423
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	CLDN15	530	0.3150943396226415	0.19006851315498352
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	CLDN16	530	0.009433962264150943	0.0038778868038207293
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	CLDN17	530	0.0	0.0
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	CLDN18	530	0.0018867924528301887	0.0009010232170112431
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	CLDN19	530	0.0018867924528301887	0.001152513432316482
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	CLDN2	530	0.04339622641509434	0.02416594885289669
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	CLDN20	530	0.0	0.0
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	CLDN22	530	0.0	0.0
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	CLDN23	530	0.1641509433962264	0.09757792949676514
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	CLDN3	530	0.9490566037735849	2.3404781818389893
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	CLDN4	530	0.9264150943396227	2.2966294288635254
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	CLDN5	530	0.1509433962264151	0.1040952280163765
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	CLDN6	530	0.0	0.0
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	CLDN7	530	0.8584905660377359	1.231764316558838
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	CLDN8	530	0.0	0.0
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	CLDN9	530	0.04339622641509434	0.03435378149151802
