table	order	sheet	reference	n_rows	kind	source	assembly
7	18	Added_source_index	reference/workbooks/07/Added_source_index.json	4	provenance		workbook_sources.py
7	19	Source_selection_notes	reference/workbooks/07/Source_selection_notes.json	8	data	manuscript/rec_text_polish_2026-09-21/source_data/Source_selection_notes.tsv	workbook_sources.py
8	0	All_30_members	reference/workbooks/08/All_30_members.json	240	data	analysis_results/rec_q2_integration_2026-09-19/regional/all30_member_results.tsv	workbook_sources.py
8	1	Programme_tests	reference/workbooks/08/Programme_tests.json	32	data	analysis_results/rec_q2_integration_2026-09-19/regional/programme_tests.tsv	workbook_sources.py
8	2	Patient_proxies	reference/workbooks/08/Patient_proxies.json	84	data	analysis_results/rec_q2_integration_2026-09-19/regional/patient_region_proxy_scores.tsv	workbook_sources.py
8	3	Patient_display_scores	reference/workbooks/08/Patient_display_scores.json	84	data	analysis_results/rec_q2_integration_2026-09-19/regional/patient_region_display_scores.tsv	workbook_sources.py
8	4	Proxy_definitions	reference/workbooks/08/Proxy_definitions.json	21	data	analysis_results/rec_q2_integration_2026-09-19/regional/proxy_definition_lock.tsv	workbook_sources.py
8	5	Proxy_coverage	reference/workbooks/08/Proxy_coverage.json	84	data	analysis_results/rec_q2_integration_2026-09-19/regional/proxy_coverage.tsv	workbook_sources.py
8	6	All_pairs_eligibility	reference/workbooks/08/All_pairs_eligibility.json	17366	data	analysis_results/rec_q2_integration_2026-09-19/regional/all_pairs_gene_eligibility.tsv	workbook_sources.py
8	7	Same_section_eligibility	reference/workbooks/08/Same_section_eligibility.json	17366	data	analysis_results/rec_q2_integration_2026-09-19/regional/same_section_gene_eligibility.tsv	workbook_sources.py
8	8	Design_checks	reference/workbooks/08/Design_checks.json	8	data	analysis_results/rec_q2_integration_2026-09-19/regional/model_diagnostics.tsv	workbook_sources.py
8	9	Within_patient_VIF	reference/workbooks/08/Within_patient_VIF.json	16	data	analysis_results/rec_q2_integration_2026-09-19/regional/within_patient_VIF.tsv	workbook_sources.py
8	10	Proxy_correlations	reference/workbooks/08/Proxy_correlations.json	36	data	analysis_results/rec_q2_integration_2026-09-19/regional/proxy_correlations.tsv	workbook_sources.py
8	11	Reconstruction_checks	reference/workbooks/08/Reconstruction_checks.json	4	data	analysis_results/rec_q2_integration_2026-09-19/regional/legacy_reconstruction_checks.tsv	workbook_sources.py
8	12	Same_section_TMM_baseline	reference/workbooks/08/Same_section_TMM_baseline.json	24	data	analysis_results/rec_manuscript_reinforcement_2026-09-17/sections/shared_gene_comparison_TMM.tsv	workbook_sources.py
8	13	Same_section_library_baseline	reference/workbooks/08/Same_section_library_baseline.json	24	data	analysis_results/rec_manuscript_reinforcement_2026-09-17/sections/shared_gene_comparison_library_only.tsv	workbook_sources.py
8	14	HRC_88_paired_coefficients	reference/workbooks/08/HRC_88_paired_coefficients.json	88	data	manuscript/rec_text_polish_2026-09-21/source_data/panels/Figure_5_C.tsv	workbook_sources.py
8	15	HRC_programme_test_source	reference/workbooks/08/HRC_programme_test_source.json	2	data	manuscript/rec_text_polish_2026-09-21/source_data/panels/Figure_5_C_programme_tests.tsv	workbook_sources.py
8	16	Complete_8_specifications	reference/workbooks/08/Complete_8_specifications.json	240	data	manuscript/rec_text_polish_2026-09-21/source_data/panels/Supplementary_Figure_6_A.tsv	workbook_sources.py
8	17	Adjusted_TMM_full_intervals	reference/workbooks/08/Adjusted_TMM_full_intervals.json	60	data	manuscript/rec_text_polish_2026-09-21/source_data/panels/Supplementary_Figure_6_B.tsv	workbook_sources.py
8	18	Directional_mixed_tests	reference/workbooks/08/Directional_mixed_tests.json	16	data	manuscript/rec_text_polish_2026-09-21/source_data/panels/Supplementary_Figure_6_C.tsv	workbook_sources.py
8	19	Panel_VIF	reference/workbooks/08/Panel_VIF.json	16	data	manuscript/rec_text_polish_2026-09-21/source_data/panels/Supplementary_Figure_6_D.tsv	workbook_sources.py
8	20	Panel_residual_df	reference/workbooks/08/Panel_residual_df.json	8	data	manuscript/rec_text_polish_2026-09-21/source_data/panels/Supplementary_Figure_6_D_model_diagnostics.tsv	workbook_sources.py
8	21	Added_source_index	reference/workbooks/08/Added_source_index.json	9	provenance		workbook_sources.py
