patient	region	Claudin	Polarity	Junction	HRC	RSC	iCMS2	iCMS3	E2F	Hypoxia	Epithelial	Liver	iCMS	transform	filter	score
PAT4	micro_tumour	0.48931092408532023	-0.33045708338877233	0.2223363808371024	-0.33389286391538703	-0.17097567747687029	-0.041656051802430774	-0.034425282631491985	0.3141990928563107	-0.17667718341751126	0.25409790982732366	0.7489953964287462	0.007230769170938789	library_scaled_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT4	macro_tumour	0.476188129794739	-0.20702182305002764	0.29940799763857345	0.31490695589464074	0.10261421464607683	-0.12474091976073973	0.1958877374041855	-0.30251063984113424	0.03379805893065879	0.6293770296887728	-0.1968653293946342	0.3206286571649252	library_scaled_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT6	micro_tumour	0.06429895182843061	0.017770414268566334	-0.0014690280349266744	-0.00011692422088597423	0.2510485221259093	-0.8282503889005884	0.21721294137797292	-0.43870888796962804	0.1992769032418567	-0.6022861772294437	0.6397569574713743	1.0454633302785614	library_scaled_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT6	macro_tumour	0.12676413370625014	0.23576957843962	0.1637836097395227	0.15345818874366823	-0.17481840688245134	0.09737323236671602	0.16988858750256175	0.16668274839251004	-0.08635471760627071	-0.17001936117835514	-1.6768266073071867	0.07251535513584573	library_scaled_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT9	macro_tumour	0.1773978228934089	0.41154781847046157	0.2725730788215976	0.33216172677418504	-0.002263008115587784	0.7470189639614568	0.04989990810791828	0.36202778458796614	-0.010685412666752327	-0.05508475245521418	-0.7967053315031448	-0.6971190558535385	library_scaled_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT9	micro_tumour	0.22419541816751934	-0.43424060079281485	-0.047972512023345217	-0.6985753652770403	-0.12227161393722326	-0.41906292088796926	0.0787812086486457	-1.1880925067025723	0.27273310155040237	-1.0313557050629218	1.6268551699337859	0.49784412953661494	library_scaled_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT7	micro_tumour	0.045806541981781156	-0.4444319271908476	-0.12805703677835353	-0.047346574145306984	0.15967024021482887	-0.6648553362588345	0.1816847121276277	-0.680190170911078	0.4842429474965606	-0.16158132427357227	1.1240283799461144	0.8465400483864622	library_scaled_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT7	macro_tumour	0.4160381722803678	0.038952487295998206	0.3158146166970351	0.4585499400046293	0.25621994169364987	0.08877897827367429	0.246792052091633	0.3291488451527508	-0.04418860156419121	0.9047608327770437	-0.5248295598325564	0.1580130738179587	library_scaled_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT11	micro_tumour	0.029538064667789955	-0.1356022677991816	0.008428114311687848	0.16575147263859025	0.20132886511321602	-0.0005510944398673008	0.14254094288714841	-0.02005965727486648	0.25059440743168004	0.10826477475013285	1.075131360895948	0.14309203732701573	library_scaled_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT11	macro_tumour	0.4053298907619072	0.057710470292529716	0.2934785567071586	0.5126129904176376	0.348950550296885	0.0653103426776096	0.07704490519239274	-0.270269835474412	0.22209880438851287	0.7592055783321359	0.34560848645663506	0.011734562514783137	library_scaled_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT8	macro_tumour	0.0832256177385567	-0.06263602990397996	0.06536948367244437	0.6199766243637265	0.2573054213104233	0.1863333607381297	0.08226761922180952	-0.08884002203677481	0.16958970157714215	0.4972078102943237	-0.5742583221188258	-0.10406574151632018	library_scaled_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT10	macro_tumour	-0.13253724887379456	-0.26095673521439944	-0.17610280138386056	-0.3646707325090652	-0.23398776783714792	0.236150753146113	-0.1753333281274111	0.5447629970343398	-0.22657380953557435	0.1944936713840711	-0.9970391869228371	-0.4114840812735241	library_scaled_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT10	micro_tumour	-0.2286262180783668	-0.17837457601874324	-0.21707997750532806	-0.6179615604126826	-0.23233081164495886	0.2981578948589194	-0.23988839535108145	0.7855526037304073	-0.18786789705396706	0.28557484674005773	0.07017277578266008	-0.5380462902100008	library_scaled_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
