hops	restriction	score	component	n_genes	endpoint	n	effect	low	high	p	n_positive	loo_min	loo_max	q
3	all_tumour	mean_gene_z	HRC	87	HGP_near	6	-0.031234328523199635	-0.8840749495434091	0.6868080884117936	0.9	NA	-0.26870084377567066	0.3959903211735298	1.0
3	all_tumour	mean_gene_z	HRC	87	HGP_localization	6	-0.2287066921995222	-0.4361475297571818	0.023536905557288657	0.3	NA	-0.364742554682547	-0.12741940870994703	0.7
3	all_tumour	mean_logCPM	Claudin	21	HGP_tumour	6	-0.06148989370763025	-0.610886573014086	0.48807619596252905	1.0	NA	-0.3362729385427099	0.21320844594559785	1.0
3	all_tumour	mean_logCPM	Polarity	8	HGP_tumour	6	-0.10148132602973181	-0.514060664466709	0.31109801240724444	0.7	NA	-0.2832869408213181	0.08016805298665108	1.0
3	all_tumour	mean_logCPM	Junction	30	HGP_tumour	6	-0.06769448304869652	-0.3379899562624762	0.19439470543161486	0.8	NA	-0.20150716252786927	0.07989859703846847	1.0
3	all_tumour	mean_logCPM	HRC	87	HGP_tumour	6	0.1917987098977374	-0.49043211223261896	0.837449381730039	0.6	NA	-0.05159993627207271	0.5049252903579449	1.0
3	all_tumour	mean_gene_z	Claudin	21	HGP_tumour	6	0.00032615071862414824	-0.25155369843378156	0.2522059998710298	1.0	NA	-0.08306259853945608	0.11794305124254437	1.0
3	all_tumour	mean_gene_z	Polarity	8	HGP_tumour	6	-0.2528147594481643	-0.8673997887447751	0.36177026984844635	0.5	NA	-0.4982688750840504	0.002676509804185212	0.9333333333333332
3	all_tumour	mean_gene_z	Junction	30	HGP_tumour	6	-0.060955410038275704	-0.20666943099573434	0.08475861091918296	0.7	NA	-0.12828249482896695	0.0069450227733681875	0.9333333333333332
3	all_tumour	mean_gene_z	HRC	87	HGP_tumour	6	0.15483314339708595	-0.5634909849685148	0.8334941361835908	0.7	NA	-0.08857594133080009	0.5383254460029705	0.9333333333333332
5	all_tumour	mean_logCPM	Claudin	21	near_minus_deep	6	0.1968243836374419	-0.09682931773466256	0.6194711518700066	0.5	5.0	0.0014588113411144299	0.2905479851771429	0.5
5	all_tumour	mean_logCPM	Claudin	21	HGP_near	6	0.1406618788784273	-0.3541964286766952	0.6348329953045435	0.8	NA	-0.058516498527319216	0.3562700719463112	0.8
5	all_tumour	mean_logCPM	Claudin	21	HGP_localization	6	-0.2648151790675335	-1.1083621864981452	0.33533715364747957	0.8	NA	-0.5653279776836694	0.15739495690640176	0.9
5	all_tumour	mean_logCPM	Polarity	8	near_minus_deep	6	0.06536387176127434	-0.012321559070027929	0.14600634840356422	0.28125	4.0	0.03444055613942929	0.09090274995067027	0.5
5	all_tumour	mean_logCPM	Polarity	8	HGP_near	6	-0.07827958073749475	-0.524572075521279	0.36801291404628955	0.7	NA	-0.2716674268313426	0.13327989003635032	0.8
