dataset	component	gene	source_gene	measured_variable
GSE151165	iCMS2	GPSM2	GPSM2	True
GSE151165	iCMS2	GTF2F2	GTF2F2	True
GSE151165	iCMS2	GTF2IRD1	GTF2IRD1	True
GSE151165	iCMS2	GTF3A	GTF3A	True
GSE151165	iCMS2	HELZ2		False
GSE151165	iCMS2	HIBADH	HIBADH	True
GSE151165	iCMS2	HM13	HM13	True
GSE151165	iCMS2	HNF4A	HNF4A	True
GSE151165	iCMS2	HSD17B10	HSD17B10	True
GSE151165	iCMS2	HUS1	HUS1	True
GSE151165	iCMS2	ID1	ID1	True
GSE151165	iCMS2	IFITM1	IFITM1	True
GSE151165	iCMS2	IFT52	IFT52	True
GSE151165	iCMS2	IGBP1	IGBP1	True
GSE151165	iCMS2	IMMP2L	IMMP2L	True
GSE151165	iCMS2	IPO5	IPO5	True
GSE151165	iCMS2	IRS2	IRS2	True
GSE151165	iCMS2	KLC4	KLC4	True
GSE151165	iCMS2	KPNA3	KPNA3	True
GSE151165	iCMS2	KRT23	KRT23	True
GSE151165	iCMS2	LAGE3	LAGE3	True
GSE151165	iCMS2	LAMP2	LAMP2	True
GSE151165	iCMS2	LAPTM4B	LAPTM4B	True
GSE151165	iCMS2	LAS1L	LAS1L	True
GSE151165	iCMS2	LDHB	LDHB	True
GSE151165	iCMS2	LY6G6F-LY6G6D		False
GSE151165	iCMS2	LYPLA1	LYPLA1	True
GSE151165	iCMS2	MALSU1	MALSU1	True
GSE151165	iCMS2	MAPK13	MAPK13	True
GSE151165	iCMS2	MAPRE1	MAPRE1	True
GSE151165	iCMS2	MAVS	MAVS	True
GSE151165	iCMS2	MCTS1	MCTS1	True
GSE151165	iCMS2	MED30	MED30	True
GSE151165	iCMS2	MED4	MED4	True
GSE151165	iCMS2	MEP1A	MEP1A	True
GSE151165	iCMS2	MICU2		False
GSE151165	iCMS2	MOGAT3	MOGAT3	True
GSE151165	iCMS2	MPLKIP		False
GSE151165	iCMS2	MRGBP		False
GSE151165	iCMS2	MRPL13	MRPL13	True
GSE151165	iCMS2	MRPS17	MRPS17	True
GSE151165	iCMS2	MRPS24	MRPS24	True
GSE151165	iCMS2	MRPS31	MRPS31	True
GSE151165	iCMS2	MYC	MYC	True
GSE151165	iCMS2	NAA10	NAA10	True
GSE151165	iCMS2	NAA20	NAA20	True
GSE151165	iCMS2	NAE1	NAE1	True
GSE151165	iCMS2	NCBP2	NCBP2	True
GSE151165	iCMS2	NCOA3	NCOA3	True
GSE151165	iCMS2	NDFIP2	NDFIP2	True
GSE151165	iCMS2	NDRG3	NDRG3	True
GSE151165	iCMS2	NEK3	NEK3	True
GSE151165	iCMS2	NELFCD		False
GSE151165	iCMS2	NEU1	NEU1	True
GSE151165	iCMS2	NEU4	NEU4	True
GSE151165	iCMS2	NFS1	NFS1	True
GSE151165	iCMS2	NHLRC3	NHLRC3	True
GSE151165	iCMS2	NIP7	NIP7	True
GSE151165	iCMS2	NIT2	NIT2	True
GSE151165	iCMS2	NKAP	NKAP	True
GSE151165	iCMS2	NKD1	NKD1	True
GSE151165	iCMS2	NORAD		False
GSE151165	iCMS2	NOX1	NOX1	True
GSE151165	iCMS2	NSDHL	NSDHL	True
GSE151165	iCMS2	NUAK2	NUAK2	True
GSE151165	iCMS2	NUDT4	NUDT4	True
GSE151165	iCMS2	NUPL2	NUPL2	True
GSE151165	iCMS2	NXPE4		False
GSE151165	iCMS2	NXT1	NXT1	True
GSE151165	iCMS2	OGFR	OGFR	True
GSE151165	iCMS2	OSBPL2	OSBPL2	True
GSE151165	iCMS2	OSER1		False
GSE151165	iCMS2	PAK1IP1	PAK1IP1	True
GSE151165	iCMS2	PAN3	PAN3	True
GSE151165	iCMS2	PCID2	PCID2	True
GSE151165	iCMS2	PCIF1	PCIF1	True
GSE151165	iCMS2	PCMTD2	PCMTD2	True
GSE151165	iCMS2	PCSK1N	PCSK1N	True
GSE151165	iCMS2	PDP1	PDP1	True
GSE151165	iCMS2	PDPK1	PDPK1	True
GSE151165	iCMS2	PDRG1	PDRG1	True
GSE151165	iCMS2	PEPD	PEPD	True
GSE151165	iCMS2	PET117	PET117	True
